t_step, dpx, dpy, dpz, du, dv, dw, de0, de1, de2, de3, dp, dq, dr
3870, 21.7519717, 0, 38.30399942, -8.169174338, 0, 9.900555826, -0.007909648814, 0, 0.04582531865, 0, 0, 1.146597345e-09, 0
3900, 21.7275278, 0, 38.60532733, -8.222529405, 0, 9.868477605, -0.007973571445, 0, 0.04581423942, 0, 0, 9.831178305e-10, 0
3930, 21.7031036, 0, 38.90672345, -8.275768862, 0, 9.836178793, -0.008037478557, 0, 0.04580307102, 0, 0, 8.429471184e-10, 0
3960, 21.6786993, 0, 39.20818773, -8.328891893, 0, 9.803659786, -0.008101370025, 0, 0.04579181348, 0, 0, 7.227614398e-10, 0
3990, 21.65431509, 0, 39.50972011, -8.381897684, 0, 9.770920983, -0.008165245725, 0, 0.04578046681, 0, 0, 6.197117012e-10, 0
4020, 21.62995114, 0, 39.81132053, -8.434785422, 0, 9.737962785, -0.008229105534, 0, 0.04576903103, 0, 0, 5.313544779e-10, 0
4050, 21.60560767, 0, 40.11298895, -8.487554296, 0, 9.704785597, -0.008292949326, 0, 0.04575750618, 0, 0, 4.555950479e-10, 0
4080, 21.58128484, 0, 40.4147253, -8.540203495, 0, 9.671389826, -0.008356776978, 0, 0.04574589227, 0, 0, 3.906372103e-10, 0
4110, 21.55698286, 0, 40.71652952, -8.592732212, 0, 9.637775882, -0.008420588365, 0, 0.04573418932, 0, 0, 3.349408058e-10, 0
4140, 21.53270192, 0, 41.01840156, -8.645139638, 0, 9.603944178, -0.008484383363, 0, 0.04572239736, 0, 0, 2.871856538e-10, 0
4170, 21.50844219, 0, 41.32034136, -8.697424968, 0, 9.56989513, -0.008548161848, 0, 0.04571051642, 0, 0, 2.462394029e-10, 0
4200, 21.48420388, 0, 41.62234885, -8.749587396, 0, 9.535629156, -0.008611923696, 0, 0.0456985465, 0, 0, 2.111311254e-10, 0
4230, 21.45998716, 0, 41.92442398, -8.80162612, 0, 9.501146678, -0.008675668783, 0, 0.04568648765, 0, 0, 1.810283968e-10, 0
4260, 21.43579223, 0, 42.22656668, -8.853540338, 0, 9.466448119, -0.008739396985, 0, 0.04567433988, 0, 0, 1.5521792e-10, 0
4290, 21.41161928, 0, 42.52877691, -8.90532925, 0, 9.431533907, -0.008803108177, 0, 0.04566210321, 0, 0, 1.330870663e-10, 0
4320, 21.3874685, 0, 42.83105458, -8.956992055, 0, 9.396404472, -0.008866802236, 0, 0.04564977767, 0, 0, 1.14111712e-10, 0
4350, 21.36334007, 0, 43.13339965, -9.008527958, 0, 9.361060245, -0.008930479038, 0, 0.04563736328, 0, 0, 9.784193599e-11, 0
4380, 21.33923418, 0, 43.43581205, -9.059936161, 0, 9.325501662, -0.008994138458, 0, 0.04562486008, 0, 0, 8.389168979e-11, 0
4410, 21.31515102, 0, 43.73829171, -9.111215869, 0, 9.289729161, -0.009057780374, 0, 0.04561226807, 0, 0, 7.193054632e-11, 0
4440, 21.29109077, 0, 44.04083858, -9.16236629, 0, 9.253743182, -0.009121404661, 0, 0.04559958729, 0, 0, 6.167489815e-11, 0
4470, 21.26705363, 0, 44.34345258, -9.213386632, 0, 9.21754417, -0.009185011195, 0, 0.04558681776, 0, 0, 5.288141744e-11, 0
4500, 21.24303978, 0, 44.64613366, -9.264276104, 0, 9.181132571, -0.009248599852, 0, 0.0455739595, 0, 0, 4.534167717e-11, 0
